Categories,Average_Position,Clicks,Money_Spent,Channel,Location,Prospects,Paid,Total,Day,Month,Year
Parks and Recreation,10.0,1.0,2.25,Capterra,USA,0.0,0,-2.25,28,Oct,2020
Personal Trainer,20.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,28,Oct,2020
Reservations,12.0,2.0,4.0,GetApp,Australia,0.0,0,-4.0,28,Oct,2020
Reservations,26.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Reservations,9.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,28,Oct,2020
Scheduling,13.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,28,Oct,2020
Scheduling,28.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,28,Oct,2020
Scheduling,33.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,28,Oct,2020
Venue Management,10.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Yoga Studio,25.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Camp Management,13.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,29,Oct,2020
Camp Management,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,29,Oct,2020
Coaching,10.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Fitness,16.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,29,Oct,2020
Fitness,26.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Membership Management,6.67,3.0,28.5,Capterra,Australia,0.0,0,-28.5,29,Oct,2020
Membership Management,47.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Parks and Recreation,6.0,1.0,9.75,Capterra,USA,0.0,0,-9.75,29,Oct,2020
Parks and Recreation,10.0,2.0,4.0,GetApp,USA,0.0,0,-4.0,29,Oct,2020
Personal Trainer,18.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,29,Oct,2020
Reservations,12.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,29,Oct,2020
Scheduling,43.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Scheduling,13.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,29,Oct,2020
Spa,10.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,29,Oct,2020
Venue Management,8.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,29,Oct,2020
Venue Management,5.0,2.0,4.0,Capterra,UK,0.0,0,-4.0,29,Oct,2020
Venue Management,11.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,29,Oct,2020
Camp Management,1.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,30,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,30,Oct,2020
Class Registration,7.0,2.0,4.0,Software Advice,Canada,0.0,0,-4.0,30,Oct,2020
Fitness,16.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,30,Oct,2020
Martial Arts,19.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,30,Oct,2020
Membership Management,5.5,2.0,19.0,Capterra,Australia,0.0,0,-19.0,30,Oct,2020
Membership Management,14.0,2.0,20.5,Capterra,USA,0.0,0,-20.5,30,Oct,2020
Music School,7.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,30,Oct,2020
Parks and Recreation,5.0,1.0,3.5,Capterra,Canada,0.0,0,-3.5,30,Oct,2020
Parks and Recreation,2.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,30,Oct,2020
Personal Trainer,17.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,30,Oct,2020
Personal Trainer,19.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,30,Oct,2020
Reservations,25.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,30,Oct,2020
Swim School,6.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,30,Oct,2020
Membership Management,5.0,2.0,19.0,Capterra,Australia,0.0,0,-19.0,31,Oct,2020
Membership Management,7.0,3.0,21.75,Capterra,UK,0.0,0,-21.75,31,Oct,2020
Membership Management,6.0,2.0,33.0,Capterra,USA,0.0,0,-33.0,31,Oct,2020
Scheduling,32.0,2.0,4.0,GetApp,Canada,0.0,0,-4.0,31,Oct,2020
Scheduling,13.0,2.0,4.0,GetApp,Singapore,0.0,0,-4.0,31,Oct,2020
Swim School,5.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,31,Oct,2020
Camp Management,1.0,1.0,2.0,Software Advice,Australia,0.0,0,-2.0,1,Nov,2020
Club Management,26.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,1,Nov,2020
Coaching,11.0,2.0,4.0,Capterra,USA,0.0,0,-4.0,1,Nov,2020
Membership Management,8.0,1.0,9.5,Capterra,Australia,0.0,0,-9.5,1,Nov,2020
Membership Management,9.0,1.0,18.0,Capterra,USA,0.0,0,-18.0,1,Nov,2020
Music School,11.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,1,Nov,2020
Reservations,15.0,2.0,4.0,GetApp,Australia,0.0,0,-4.0,1,Nov,2020
Reservations,10.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,1,Nov,2020
Venue Management,8.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,1,Nov,2020
Class Registration,13.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,2,Nov,2020
Club Management,27.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,2,Nov,2020
Fitness,20.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,2,Nov,2020
Membership Management,10.0,6.0,108.0,Capterra,USA,0.0,0,-108.0,2,Nov,2020
Parks and Recreation,8.0,1.0,9.75,Capterra,USA,0.0,0,-9.75,2,Nov,2020
Personal Trainer,23.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,2,Nov,2020
Reservations,14.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,2,Nov,2020
Reservations,17.0,2.0,4.0,GetApp,UK,0.0,0,-4.0,2,Nov,2020
Reservations,10.0,1.0,2.0,GetApp,Singapore,1.0,0,-2.0,2,Nov,2020
Camp Management,1.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,3,Nov,2020
Class Registration,11.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,3,Nov,2020
Coaching,14.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,3,Nov,2020
